発電所名,発電端出力(kW),メーカ,1,2,3,4,5,6,7,Average,,備考
五湯苑,144,KOBELCO,43.8,49,44.4,34.4,40.5,33.1,28.2,39.05714286,,
七味温泉バイナリー,20,IHI,31.6,14.2,13.7,13.7,0,0,,12.2,,https://xtech.nikkei.com/dm/article/NEWS/20140121/328860/
薬師湯温泉バイナリー,40,IHI,45.7,33,26,27.1,0,0,,21.96666667,,https://www.facebook.com/KUMANICHIs/posts/%E5%B0%8F%E5%9B%BD%E7%94%BA%E3%81%AE%E6%B8%A9%E6%B3%89%E6%97%85%E9%A4%A8%E3%81%8C%E9%81%8B%E5%96%B6%E3%81%99%E3%82%8B%E5%B0%8F%E5%9B%BD%E3%81%BE%E3%81%A4%E3%82%84%E7%99%BA%E9%9B%BB%E6%89%80%E3%81%A7%E3%81%AF%E4%BD%99%E3%81%A3%E3%81%9F%E8%87%AA%E7%84%B6%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC%E3%82%92%E6%B4%BB%E7%94%A8%E3%81%97%E3%81%A6%E3%81%A4%E3%81%8F%E3%82%8B%E7%9C%8C%E5%86%85%E3%81%A7%E5%94%AF%E4%B8%80%E3%81%AE%E5%9C%B0%E7%86%B1%E7%99%BA%E9%9B%BB%E6%89%80%E3%81%A0%E3%81%9D%E3%81%86%E3%81%A7%E3%81%99%E6%B8%A9%E6%B3%89%E3%81%8B%E3%82%89%E5%87%BA%E3%82%8B%E8%92%B8%E6%B0%97%E3%82%92%E5%88%A9%E7%94%A8%E3%81%97%E3%81%A6%E9%87%8E%E8%8F%9C%E3%82%84%E5%8D%B5%E3%82%92%E8%92%B8%E3%81%99%E8%92%B8%E3%81%97%E3%81%A9/859236794163674/
タタラ第一,72,KOBELCO,44.6,63,51.5,50.3,0,0,,34.9,,
小国まつや,60,IHI,70.8,83.6,80.5,68.3,88.9,61.5,,75.6,,https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf
湯山,144,KOBELCO,17.9,60.5,64.9,66.9,50.5,38.6,,49.88333333,,https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf
コスモテック別府バイナリー,500,AccessEnergy,80,70.4,54.3,5.9,4.1,40.4,,42.51666667,,https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf
亀の井,11,ターボブレード,6.4,31,29.1,37.4,0,0,,17.31666667,,https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf
フィノバイナリー,250,AccessEnergy,9.9,61.1,34.4,14.6,,,,30,,瀬戸内自然ｴﾅｼﾞｰXLT発電所から名称変更. 発電機台数1台→2台と思われる. 
由布院フォレストエナジー1号,105,KOBELCO,65,79.8,81.4,0,0,,,45.24,,https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf
小浜温泉バイナリー,125,AccessEnergy,33.1,58.2,66,41.1,60.9,,,51.86,,"https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf, https://www.kobelco.co.jp/releases/2012/1187677_12086.html"
協和地建コンサルタント湯梨浜,20,IHI,46.8,44.5,47.9,49.1,68.9,,,51.44,,
土湯温泉16号源泉バイナリー,400,オーマット,94.6,91.5,77.3,91.5,90.8,,,89.14,,https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf
ホテルサンバレーバイナリー,20,IHI,3,32.9,30.8,31.3,12.4,,,22.08,,https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf
三光地熱開発バイナリー,65,ElectoraTherm,82,82.4,49.7,0,,,,53.525,,"https://www.sankoelectric.co.jp/pdf/4400ja.pdf, https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf"
PPSNバイナリー,125,AccessEnergy,51.4,66.2,32.9,,,,,50.16666667,,詳細不明. メーカは推測. 
SUMO POWER ,125,AccessEnergy,53.4,74,12.2,,,,,46.53333333,,詳細不明. メーカは推測. 
エヌエヌエスパワー,125,AccessEnergy,32.1,64.4,28.2,,,,,41.56666667,,詳細不明. メーカは推測. 
摩周湖温泉熱,125,AccessEnergy,34.2,-,71.4,15.8,,,,40.46666667,,https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf
一重ヶ根2号バイナリー,72,KOBELCO,78.8,74.1,52.7,,,,,68.53333333,,"https://www.renewable-ei.org/pdfdownload/activities/column_REapplication21_201906.pdf, 奥飛騨第1バイナリー発電所とも"
P-POWER,250,不明,28.1,49.6,,,,,,38.85,,詳細不明. 250kWの発電端出力を公称する発電機として川崎重工業KFR-2がある. 
奥尻,250,AccessEnergy,22.4,51,73.5,,,,,48.96666667,,"https://www.enaa.or.jp/?fname=gec_h29_3_2.pdf, https://www.djk.co.jp/pdf/small.pdf?2022"
下田温泉バイナリー,110,IHI,47,61.4,28.7,,,,,45.7,,https://xtech.nikkei.com/dm/atcl/news/16/040210959/
洞爺湖温泉KH-1,45,KOBELCO,80.4,27.2,24.3,,,,,43.96666667,,https://www.kobelco.co.jp/releases/1196583_15541.html
由布院フォレストエナジー2号,,不明,80.6,49.6,80.1,,,,,70.1,,"詳細不明. 途中で発電機が交換されている?, 交換の時期は1号の運転停止と合致. "
牧野,125,AccessEnergy,54.7,9.4,0,,,,,21.36666667,,詳細不明. メーカは推測. 運営会社は牧野海運(株).
BLD (別府鶴見Power Station),270,AccessEnergy,48.1,16.7,20.3,,,,,28.36666667,,https://www.bld-ps.jp/beppu-ps/
RE-ENERGY,125,AccessEnergy,60.9,13.3,0,,,,,24.73333333,,詳細不明. メーカは推測. 
