Flow_Rate [m3/h],T_htf_in [°C],T_htf_out [°C],P_evap [bar],T_turb_in [°C],m_orc [kg/s],W_net [kW],Q_in [kW],η_th [-],ε_ex [-],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K]
,70.0000,60.0000,3.4421,60.0000,2.4898,21.8297,523.7584,0.0417,0.3523,0.0947,22.7159,5.1883,-11.2058,16.7931,17.5056
,70.0000,60.0000,3.4421,60.0000,2.7664,24.2553,581.9538,0.0417,0.3523,0.1052,25.2399,5.7648,-12.4509,18.6590,17.5056
,70.0000,60.0000,3.4421,60.0000,3.0430,26.6808,640.1491,0.0417,0.3523,0.1158,27.7639,6.3413,-13.6960,20.5249,17.5056
,70.0000,60.0000,3.4421,60.0000,3.3197,29.1063,698.3445,0.0417,0.3523,0.1263,30.2879,6.9177,-14.9411,22.3908,17.5056
,70.0000,60.0000,3.4421,60.0000,3.5963,31.5319,756.5399,0.0417,0.3523,0.1368,32.8119,7.4942,-16.1862,24.2567,17.5056
,70.0000,60.0000,3.4421,60.0000,3.8730,33.9574,814.7353,0.0417,0.3523,0.1473,35.3359,8.0707,-17.4313,26.1226,17.5056
,70.0000,60.0000,3.4421,60.0000,4.1496,36.3829,872.9306,0.0417,0.3523,0.1579,37.8599,8.6472,-18.6764,27.9885,17.5056
,70.0000,60.0000,3.4421,60.0000,4.4262,38.8084,931.1260,0.0417,0.3523,0.1684,40.3839,9.2237,-19.9215,29.8544,17.5056
,70.0000,60.0000,3.4421,60.0000,4.7029,41.2340,989.3214,0.0417,0.3523,0.1789,42.9078,9.8001,-21.1666,31.7203,17.5056
,70.0000,60.0000,3.4421,60.0000,4.9795,43.6595,1047.5168,0.0417,0.3523,0.1894,45.4318,10.3766,-22.4117,33.5862,17.5056
,70.0000,60.0000,3.4421,60.0000,5.2562,46.0850,1105.7122,0.0417,0.3523,0.2000,47.9558,10.9531,-23.6568,35.4521,17.5056
,70.0000,60.0000,3.4421,60.0000,5.5328,48.5105,1163.9075,0.0417,0.3523,0.2105,50.4798,11.5296,-24.9019,37.3180,17.5056
,70.0000,60.0000,3.4421,60.0000,5.8094,50.9361,1222.1029,0.0417,0.3523,0.2210,53.0038,12.1060,-26.1470,39.1839,17.5056
,70.0000,60.0000,3.4421,60.0000,6.0861,53.3616,1280.2983,0.0417,0.3523,0.2315,55.5278,12.6825,-27.3921,41.0498,17.5056
,70.0000,60.0000,3.4421,60.0000,6.3627,55.7871,1338.4937,0.0417,0.3523,0.2421,58.0518,13.2590,-28.6372,42.9157,17.5056
,70.0000,60.0000,3.4421,60.0000,6.6394,58.2127,1396.6890,0.0417,0.3523,0.2526,60.5758,13.8355,-29.8823,44.7816,17.5056
,70.0000,60.0000,3.4421,60.0000,6.9160,60.6382,1454.8844,0.0417,0.3523,0.2631,63.0998,14.4120,-31.1273,46.6475,17.5056
,70.0000,60.0000,3.4421,60.0000,7.1926,63.0637,1513.0798,0.0417,0.3523,0.2736,65.6238,14.9884,-32.3724,48.5134,17.5056
,70.0000,60.0000,3.4421,60.0000,7.4693,65.4892,1571.2752,0.0417,0.3523,0.2841,68.1478,15.5649,-33.6175,50.3793,17.5056
